original_review,original_word_count,summary,summary_word_count
"I've been using Dreamweaver (and it's predecessor Macromedia's UltraDev) for many years.  For someone who is an experienced web designer, this course is a high-level review of the CS5 version of Dreamweaver, but it doesn't go into a great enough level of detail to find it very useful.

On the other hand, this is a great tool for someone who is a relative novice at web design.  It starts off with a basic overview of HTML and continues through the concepts necessary to build a modern web site.  Someone who goes through this course should exit with enough knowledge to create something that does what you want it do do...within reason.  Don't expect to go off and build an entire e-commerce system with only this class under your belt.

It's important to note that there's a long gap from site design to actual implementation.  This course teaches you how to implement a design.  The user interface and overall user experience is a different subject that isn't covered here...it's possible to do a great implementation of an absolutely abysmal design.  I speak from experience.  :)

As I said above, if you're a novice, a relative newcomer or just an experienced web designer who wants a refresher course, this is a good way to do it.",214,"For someone who is an experienced web designer, this course is a high-level review of the CS5 version of Dreamweaver. It doesn't go into a great enough level of detail to find it very useful. It starts off with a basic overview of HTML and continues through the concepts necessary to build a modern web site.",56
"The demo is done with the PC version, with references to the Mac version when needed. The video is closed-captioned. You can set bookmarks. There are self-tests for each chapter as well.

Starts off with ""what is HTML"" and some other basic stuff. Includes topics such as: Planning your Website; Defining a site in DW; Creating a new web page; Adding Text; Formatting with CSS; Images and rich media; Links; Page layout w/ CSS; Tables; Forms; Reusable Content; Testing; etc. Each section has sub-sections with their own video, and some have sub-sub-sections to flesh out the material, such as the one regarding project management, or CSS, which includes discussion of CSS for print. It is not, however, a tutorial on ""the best way to lay out a site using CSS"" or anything like that. For that, you'll need a book or two on that subject.

She has a site that has some helpful resources, e.g. checklists for project management and site development, and helpful URLs. All in all, it's a decent introduction to creating web sites.

She sounds weird, though, like a robot (or Stephen Hawking's voicebox) with her halting, clipped delivery. She tends to be slightly chatty and repeat material, but it's not that bad; could be helpful for retention for people new to the subject.

UI - at the top of the interface, there's a ""Previous Video"" button and ""Next Video"" button. The ""Next Video"" button is disabled for the last video of each chapter, so to get to the next one you'll have to use other navigation. This is because the last item is the test. Kinda dumb UI choice, initially confusing. They could have changed it to read ""Take Test"" instead of putting up a virtual dead end. There is a sidebar which is normally hidden (you are cued that you can display it when the mouse strays into the video area), which has information on the current video and lists/links to the other videos in the chapter. The title bar (under the top-left tabs) is a dropdown to navigate the content.

There's a ""Watch and Work"" mode which shrinks the video display to let you work with your copy of DreamWeaver (not included). You can move the video window around BUT you CANNOT resize it - and it may be kind of tiny to watch in that mode. So if you have a dual monitor setup, you'll want to drag the Standard Mode video player to the other screen; Standard Mode cannot be resized to be smaller, either.

All in all, a good value if you want to learn DreamWeaver.",435,"The demo is done with the PC version, with references to the Mac version when needed. Each section has sub-sections with their own video. She sounds weird, though, like a robot (or Stephen Hawking's voicebox) with her halting, clipped delivery.",40
"I've been creating websites with Dreamweaver for years now, and all that experience has taught me one thing - I'm a hack web designer.  Recently I have been trying to learn industry CSS standards and had heard that Dreamweaver has made great advances in CSS management in CS4 and CS5. I'm embarrassed to say what version I am using.

When I got a chance to get a reviewer copy of this training set I jumped for two reasons, first I was mulling over spending the money to upgrade to DW CS5 and I second I have always that I was missing out on a lot of DW's capabilities.  It's now obvious that I should upgrade for the CSS management upgrades alone.

As for the value of the training - I couldn't be happier.  This is not an advanced tips and tricks resource, nor is it an exhaustive boot camp in web page authoring, but it is a fairly thorough training taking you from site planning and design to creation and publishing.  I watched the videos from beginning to end and they start pretty basic with an HTML refresher then move to the meatier DW specific training.  I can see myself returning to several sections later to brush up.

Personally, the CSS, Media, and Forms training videos were enough to justify the price tag.  The training lessons were short and easily digestible.  I liked that it broke training into 3-10 minutes so I had some time to do a little more in-depth googling on subjects like text wrapping on absolute positioned CSS objects (which it won't.) or checking my version of DW.

  What this is
  - An Adobe Certification Training Aid - so it starts from a very low level introduction and  goes through the entire DW web creation process
  - A wonderfully designed interface
  - A great overview of using DW

What it isn't
  - A substitute for spending the time working with DW (but it will jump start a novice)
  - An expert tips and tricks reference

All in all, I highly recommend this to anyone trying to learn DW or even web design in general. The CSS placement section has been the most enlightening coverage of the topic I have been able to find.  The author's delivery on the videos is great and the interface is the best, most intuitive I have seen. The only bad thing I can say is that the closed captioning is defaulted on, so at times it covered the bottom of the properties table at the bottom of the screen. So sometimes I had to close it to see things the author was pointing out.  But all in all, this is an absolutely wonderful product.",452,"This is not an advanced tips and tricks resource, nor is it an exhaustive boot camp in web page authoring. It is a fairly thorough training taking you from site planning and design to creation and publishing. The CSS placement section has been the most enlightening coverage of the topic I have been able to find.",56
"I decided (after trying a number of other products) to switch to the gold standard of web site management, Dreamweaver. I bought a few books, did some Lynda courses and still found myself wanting more. This was the perfect product for that ""more"".

I think some reviewers are confused about both Dreamweaver and this product - these aren't for ""design"". If you don't already know what you want to do, picking up Dreamweaver is not going to help! The product being reviewed here is how to use Dreamweaver - not how to design for the web. Both expect you already have the design part.

I used a pure HTML editor, which for beginners is the best way to go. You'll learn HTML and CSS along with exactly how your code changes your page. DW is more for time savings and automation. That said, it's also massively complex with a steep learning curve. And that's where Learn Adobe Dreamweaver comes in. It very clearly takes you through learning DW so that you can get on with designing web pages.

Excellent addition to my library and excellent companion to Dreamweaver itself. The only other thing you might need is one of the large reference books on DW to refer back to if you have questions.",213,Learn Adobe Dreamweaver is an excellent companion to Dreamweavers. It takes you through learning DW so that you can get on with designing web pages. DW is more for time savings and automation. It's also massively complex with a steep learning curve.,42
"I spent several hours on the lesson and I love it.
It is very detailed and very clear.
The instructions with the graph and the audio and the video playback is very nice.
You can cut or repeat any lesson you need and come back and review at your convenience.
The lesson starts with very fundamental knowledge of what an URL is and allow the students to know what is the source code, the layout and how to use the tools and maneuver in the Dreamweaver app.
It is an excellent tool to have.
Most of us uses some of the tools but not all of the tools.  Some I don't even know the function was there.
It is nice to have a teacher like this I can go to easily without calling expensive tech support.
Highly recommend this teaching series.",141,I spent several hours on the lesson and I love it. The instructions with the graph and the audio and the video playback is very nice. You can cut or repeat any lesson you need and come back and review at your convenience.,43
"I have had Dreamweaver MX2004 since it came out back then. Spent years with it. Feel like I know it real well, but I am still familiar with tables as opposed to CSS. So I thought this would be a great introduction, and it is. The problem is that while I am looking at the video, and that simplifies things a lot, I am not getting the intuitive explanation as to why things work the way they do. I understand just knowing how to work them is sufficient. I'm tempted to delve into the rich full attributes of Dreamweaver CS5 as explained by this video, albeit difficult to understand the more advanced features, but I won't because this is about the video.

The opening salvo is chock full of... for example, this is the URL; this is where you type in the address bar etc. Only when you start to get into areas such as CSS do you get an introduction that for me is beneficial, and that is only because I am somewhat of a newbie to it. So there you have it, do you get an advanced lesson that flies through things and most find it hard to understand, or do you get this one and appreciate the fact that she walks you through everything step by step, even at the risk of boring the more in the know people, but finally arriving at the section you need to learn, and then appreciate that she is not moving at lightning speed.

I'm holding off buying Dreamweaver CS5, although I got the upgrade to Photoshop CS5 and love it, because my MX2004 is not an eligible upgrade version. If I could qualify for the upgrade I would grab it, but the learning curve of CSS, and the steep price for the full version when I have MX2004 already is giving me some hesitation. If I was to upgrade, or should I say take the leap to the full version, this tutorial is the one I would use, and I also recommend the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Adobe-Dreamweaver-CS5-on-Demand/dp/0789744449/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Adobe Dreamweaver CS5 on Demand</a>&nbsp;which makes a very good reference guide.
At some point I will get the new version of CS5 Dreamweaver, and at that point I will do the entire video series, and have a much more in depth analysis of it. But from what I can see after viewing a bunch of the video tutorials, it is the easiest way to indoctrinate you to the newest version. So I recommend it.",419,"I have had Dreamweaver MX2004 since it came out back then. Spent years with it. Feel like I know it real well, but I am still familiar with tables as opposed to CSS. The problem is that while I am looking at the video, and that simplifies things a lot, I am not getting the intuitive",56
"I have also taken a local community college on-line course on DreamWeaver CS5 training. This video in comparison is quite a bit better in terms of the rich contents and course layout. The video has 17 sections covering the key elements of CS5 which allow the user to learn how to create a local web site from scratch and uploading it to the server. Each section is also broken down to several 3-6 minutes sub-sections which is just right in terms of the duration. At the end of each section there is also a test available to make sure you get a good understanding of the materials.

There are also some other additional useful features such as real-time caption and bookmarks which allows us to jump to our favorite section easily.

All in all, this is a great product for the price.",142,I have also taken a local community college on-line course on DreamWeaver CS5 training. This video in comparison is quite a bit better in terms of the rich contents and course layout. The video has 17 sections covering the key elements of CS5.,43
"Even though I use Dreamweaver a great deal and own several books on the subject, I found this set very helpful. Candyce Mairs takes you through everything, from opening the program and setting up your desktop to creating a site. The focus is on the software, not on CSS or HTML or web design, so you'll end up with a through understanding of just how the software is designed to work.

The videos are brief, with clear screenshots and step by step narration which is subtitled. When occasionally the narrator makes a small error (""Fireworks"" for ""Firefox,"" say), the subtitles correct it. The pace is slow but focused and always on task -- no rambling or making and fixing errors on screen.

Since each video looks at just one issue, it's very easy to find your way back if you feel confused. I like the ""Watch and work"" option, too, which lets you keep the video running in the corner of your screen so that you can work along with the video.

New features of CS5 are pointed out in detail, not only in the video training but in the accompanying booklet, which also has tables of keyboard shortcuts, a glossary, and lots of example code.

If you're upgrading and want to master the new features immediately or if you usually hand code and want to get to know all the timesaving features of Dreamweaver, this is exactly what you need. If you're a moderately skilled web designer and would like to increase your skills, improving your ability to use Spry, for example, this is an excellent choice. It's probably not enough for the absolute beginner -- you'll still need to learn HTML and CSS and web design theory, but this is the best I've seen for using Dreamweaver in particular.",301,"Candyce Mairs takes you through everything, from opening the program and setting up your desktop to creating a site. The focus is on the software, not on CSS or HTML or web design. The videos are brief, with clear screenshots and step by step narration.",45
"As someone who has just upgraded from Lightroom version 2 to the new version 3, I got this to bring me up to speed on the new features. I thought I would just watch the video clips on the new items as I needed them. Boy was I wrong... this is so good that I ended up watching every one of them from start to finish.

This package consists of a DVD and a small book. The book has a chapter on being a better photographer and another introducing the new features of Lightroom 3. The DVD contains the videos and a dedicated video player.  You can either use Internet Explorer or the player to view the content. My recommendation is to use the player.  It's full featured... a nice menu system, resizing for the screen, and the normal control buttons (stop, pause, play, etc.). The nicest feature of the player is the ""Work Along"" mode. In this mode, the video plays in a small window while you're working in Lightroom. This lets you try the commands along with the video.

Video and audio quality is excellent. The 2 instructors do a great job. They don't get over technical and keep a good pace. Not only do they present the material, they also give examples of how they use a Lightroom feature or command in their own workflow. This product would be perfect for someone new to Lightroom or a seasoned user looking to learn the new version.",248,This package consists of a DVD and a small book. The book has a chapter on being a better photographer and another introducing the new features of Lightroom 3. The DVD contains the videos and a dedicated video player.,39
"Adobe approved ""Adobe Photoshop Lightroom 3, Learn by Video"" is the absolutely best method of learning Lightroom 3 that I've found. It's one on one training presented by Tim Grey and Mikkel Aaland. The program truly has just about everything to get you up and running full hilt. You'll progress from the very beginning of setting Lightroom up to importing photos, developing them, exporting them and everything in between. It does not contain everything that anyone would want in an educational program - that would be a practical impossibility. However, this program contains 10 hours of video training: you hear how a procedure occurs and you see how it's done, along with advice and opinion. There's even a testing procedure included and reference booklet. You can also copy selected video tutorials. I've had and have been using Adobe Lightroom for a couple years and recently upgraded to Lightroom 3. I've books written about Lightroom 3 by well known authors but I found reading about it was just a little too tedious and finally decided to find out how to make it work for me. This program works, it did for me and frankly I believe it's the best program available.",200,"Adobe approved ""Adobe Photoshop Lightroom 3, Learn by Video"" is the absolutely best way to learn Lightroom. It's one on one training presented by Tim Grey and Mikkel Aaland. The program truly has just about everything to get you up and running full hilt.",44
