overall,reviewText,summary,sentiment,review_len,clean_text,clean_summary,combined_text,vader_text,vader_len,combined_len,word_count
3.0,"This software works. . . especially the newer version. . . but. . . I did not find it the easiest to use.  Quite honestly, if you're wanting a VERY simple way to transfer from VHS to DVD, then purchase a DVD VCR combo. .. as long as you make sure that the DVD is a DVD burner.  The second easiest way is to hook-up an old VCR to a DVD burner/player box.  For the most part, you're not  going to get all of the ""options"" and ""control"" that Roxio gives you. . . but it's SO much easier.",There are MUCH easier ways....,neutral,99,"this software works. . . especially the newer version. . . but. . . i did not find it the easiest to use. quite honestly, if you're wanting a very simple way to transfer from vhs to dvd, then purchase a dvd vcr combo. .. as long as you make sure that the dvd is a dvd burner. the second easiest way is to hook-up an old vcr to a dvd burner/player box. for the most part, you're not going to get all of the ""options"" and ""control"" that roxio gives you. . . but it's so much easier.",there are much easier ways....,"there are much easier ways.... this software works. . . especially the newer version. . . but. . . i did not find it the easiest to use. quite honestly, if you're wanting a very simple way to transfer from vhs to dvd, then purchase a dvd vcr combo. .. as long as you make sure that the dvd is a dvd burner. the second easiest way is to hook-up an old vcr to a dvd burner/player box. for the most part, you're not going to get all of the ""options"" and ""control"" that roxio gives you. . . but it's so much easier.","There are MUCH easier ways.... This software works. . . especially the newer version. . . but. . . I did not find it the easiest to use. Quite honestly, if you're wanting a VERY simple way to transfer from VHS to DVD, then purchase a DVD VCR combo. .. as long as you make sure that the DVD is a DVD burner. The second easiest way is to hook-up an old VCR to a DVD burner/player box. For the most part, you're not going to get all of the ""options"" and ""control"" that Roxio gives you. . . but it's SO much easier.",104,104,99
5.0,"This does what it says it does and nothing more. The software is inflexible. For example, when making a photo slide show one cannot rearrange the photo order and adding a pic to the slide order is hit and miss. But overall it's an acceptable underdeveloped product.",Gets the job done,positive,47,"this does what it says it does and nothing more. the software is inflexible. for example, when making a photo slide show one cannot rearrange the photo order and adding a pic to the slide order is hit and miss. but overall it's an acceptable underdeveloped product.",gets the job done,"gets the job done this does what it says it does and nothing more. the software is inflexible. for example, when making a photo slide show one cannot rearrange the photo order and adding a pic to the slide order is hit and miss. but overall it's an acceptable underdeveloped product.","Gets the job done This does what it says it does and nothing more. The software is inflexible. For example, when making a photo slide show one cannot rearrange the photo order and adding a pic to the slide order is hit and miss. But overall it's an acceptable underdeveloped product.",51,51,47
5.0,"Simple and easy to use. Cheapest price I found.  I have been using it for years for all 3 family members. You also get 1 free state tax program. The federal e-file is free, but you do have to pay to efile state 19.99. Save the money on the state e-file and mail it in.",Does the job great.,positive,55,"simple and easy to use. cheapest price i found. i have been using it for years for all 3 family members. you also get 1 free state tax program. the federal e-file is free, but you do have to pay to efile state 19.99. save the money on the state e-file and mail it in.",does the job great.,"does the job great. simple and easy to use. cheapest price i found. i have been using it for years for all 3 family members. you also get 1 free state tax program. the federal e-file is free, but you do have to pay to efile state 19.99. save the money on the state e-file and mail it in.","Does the job great. Simple and easy to use. Cheapest price I found. I have been using it for years for all 3 family members. You also get 1 free state tax program. The federal e-file is free, but you do have to pay to efile state 19.99. Save the money on the state e-file and mail it in.",59,59,55
5.0,"Let's face it: a lot of computer-assisted instruction is just plain lame or worse.

They can suffer from either being rote memorization schemes or over-glorified games or simply textbooks in electronic form.

Rare is a system that truly utilizes what computers can do best to solidly teach concepts.

Rosetta Stone delivers.

It teaches language using multiple sensory inputs (picture & voice) and multiple feedback mechanisms (your voice and hand-eye choices).  It is able to adjust and compensate for your learning speed and strengths on the fly.  It is engaging without being just a game.  And it is able to effectively teach without English--- which is the closest you can get to a dedicated immersion course.

Bottom line:  I am very impressed.  My ten year old loves it, actually WANTS to do the lessons.  I'm having fun with it too, even though languages are definitely not my strong suit.  If you want to learn a language on your own, this is the best way I know to do it.",Computer Instruction that Really Works,positive,168,"let's face it: a lot of computer-assisted instruction is just plain lame or worse. they can suffer from either being rote memorization schemes or over-glorified games or simply textbooks in electronic form. rare is a system that truly utilizes what computers can do best to solidly teach concepts. rosetta stone delivers. it teaches language using multiple sensory inputs (picture & voice) and multiple feedback mechanisms (your voice and hand-eye choices). it is able to adjust and compensate for your learning speed and strengths on the fly. it is engaging without being just a game. and it is able to effectively teach without english--- which is the closest you can get to a dedicated immersion course. bottom line: i am very impressed. my ten year old loves it, actually wants to do the lessons. i'm having fun with it too, even though languages are definitely not my strong suit. if you want to learn a language on your own, this is the best way i know to do it.",computer instruction that really works,"computer instruction that really works let's face it: a lot of computer-assisted instruction is just plain lame or worse. they can suffer from either being rote memorization schemes or over-glorified games or simply textbooks in electronic form. rare is a system that truly utilizes what computers can do best to solidly teach concepts. rosetta stone delivers. it teaches language using multiple sensory inputs (picture & voice) and multiple feedback mechanisms (your voice and hand-eye choices). it is able to adjust and compensate for your learning speed and strengths on the fly. it is engaging without being just a game. and it is able to effectively teach without english--- which is the closest you can get to a dedicated immersion course. bottom line: i am very impressed. my ten year old loves it, actually wants to do the lessons. i'm having fun with it too, even though languages are definitely not my strong suit. if you want to learn a language on your own, this is the best way i know to do it.","Computer Instruction that Really Works Let's face it: a lot of computer-assisted instruction is just plain lame or worse. They can suffer from either being rote memorization schemes or over-glorified games or simply textbooks in electronic form. Rare is a system that truly utilizes what computers can do best to solidly teach concepts. Rosetta Stone delivers. It teaches language using multiple sensory inputs (picture & voice) and multiple feedback mechanisms (your voice and hand-eye choices). It is able to adjust and compensate for your learning speed and strengths on the fly. It is engaging without being just a game. And it is able to effectively teach without English--- which is the closest you can get to a dedicated immersion course. Bottom line: I am very impressed. My ten year old loves it, actually WANTS to do the lessons. I'm having fun with it too, even though languages are definitely not my strong suit. If you want to learn a language on your own, this is the best way I know to do it.",173,173,168
4.0,"There is some fun stuff in this PC game; but overall it's kind of boring and a little bit annoying.  And I am a big fan of the Nancy Drew PC games!  I have a feeling the next game (available fall 2005), ""Last Train to Blue Moon Canyon"", will be longer and more mysterious!  My favorite ND games thus far: Danger on Deception Island, Secret of Shadow Ranch, & Ghost Dogs of Moon Lake.",Love ND Games; this one is just average.,positive,74,"there is some fun stuff in this pc game; but overall it's kind of boring and a little bit annoying. and i am a big fan of the nancy drew pc games! i have a feeling the next game (available fall 2005), ""last train to blue moon canyon"", will be longer and more mysterious! my favorite nd games thus far: danger on deception island, secret of shadow ranch, & ghost dogs of moon lake.",love nd games; this one is just average.,"love nd games; this one is just average. there is some fun stuff in this pc game; but overall it's kind of boring and a little bit annoying. and i am a big fan of the nancy drew pc games! i have a feeling the next game (available fall 2005), ""last train to blue moon canyon"", will be longer and more mysterious! my favorite nd games thus far: danger on deception island, secret of shadow ranch, & ghost dogs of moon lake.","Love ND Games; this one is just average. There is some fun stuff in this PC game; but overall it's kind of boring and a little bit annoying. And I am a big fan of the Nancy Drew PC games! I have a feeling the next game (available fall 2005), ""Last Train to Blue Moon Canyon"", will be longer and more mysterious! My favorite ND games thus far: Danger on Deception Island, Secret of Shadow Ranch, & Ghost Dogs of Moon Lake.",82,82,74
5.0,GET IT EVERY YEAR AND HAVE NEVER HAD A PROBLEM,Five Stars,positive,10,get it every year and have never had a problem,five stars,five stars get it every year and have never had a problem,Five Stars GET IT EVERY YEAR AND HAVE NEVER HAD A PROBLEM,12,12,10
4.0,"I've used this AVG this year to replace the Norton that I have used for the last several years. The Norton let me down when it let several email virus's &/or Trojans get into my mail and start sending themselves out to everybody in my address book. This has made everybody in my address book very mad at me!

There was one thing that the Norton has over the AVG and that's the identity storage. This made it really easy for storing my user name and passwords for all the important sites that I used. Like my bank, the bill paying sites, and the suppliers that I use for my wood working and pen turning supplies. The bad part of that was that I quit backing up my most used passwords on a separate text file. Now that my Norton has expired, even though I did save a backup copy of my identity files, I can no longer access my passwords! The back up file is in a .NPM format that I cant find a reader for or any way to convert it to something I can open. It would be nice if the AVG had a compatible part of its program or similar function.

As for the installation of the AVG, it went very smooth with no problems at all. I was able to install the AVG before removing the Norton so that there wasn't a gap in my protection. The update and first scan went very smooth and the whole thing took less than an hour. As for how good the AVG protection is I will have to come back in a few months and update this to let you know. But for now I'm very pleased with it.",So far its been pretty good,positive,291,"i've used this avg this year to replace the norton that i have used for the last several years. the norton let me down when it let several email virus's &/or trojans get into my mail and start sending themselves out to everybody in my address book. this has made everybody in my address book very mad at me! there was one thing that the norton has over the avg and that's the identity storage. this made it really easy for storing my user name and passwords for all the important sites that i used. like my bank, the bill paying sites, and the suppliers that i use for my wood working and pen turning supplies. the bad part of that was that i quit backing up my most used passwords on a separate text file. now that my norton has expired, even though i did save a backup copy of my identity files, i can no longer access my passwords! the back up file is in a .npm format that i cant find a reader for or any way to convert it to something i can open. it would be nice if the avg had a compatible part of its program or similar function. as for the installation of the avg, it went very smooth with no problems at all. i was able to install the avg before removing the norton so that there wasn't a gap in my protection. the update and first scan went very smooth and the whole thing took less than an hour. as for how good the avg protection is i will have to come back in a few months and update this to let you know. but for now i'm very pleased with it.",so far its been pretty good,"so far its been pretty good i've used this avg this year to replace the norton that i have used for the last several years. the norton let me down when it let several email virus's &/or trojans get into my mail and start sending themselves out to everybody in my address book. this has made everybody in my address book very mad at me! there was one thing that the norton has over the avg and that's the identity storage. this made it really easy for storing my user name and passwords for all the important sites that i used. like my bank, the bill paying sites, and the suppliers that i use for my wood working and pen turning supplies. the bad part of that was that i quit backing up my most used passwords on a separate text file. now that my norton has expired, even though i did save a backup copy of my identity files, i can no longer access my passwords! the back up file is in a .npm format that i cant find a reader for or any way to convert it to something i can open. it would be nice if the avg had a compatible part of its program or similar function. as for the installation of the avg, it went very smooth with no problems at all. i was able to install the avg before removing the norton so that there wasn't a gap in my protection. the update and first scan went very smooth and the whole thing took less than an hour. as for how good the avg protection is i will have to come back in a few months and update this to let you know. but for now i'm very pleased with it.","So far its been pretty good I've used this AVG this year to replace the Norton that I have used for the last several years. The Norton let me down when it let several email virus's &/or Trojans get into my mail and start sending themselves out to everybody in my address book. This has made everybody in my address book very mad at me! There was one thing that the Norton has over the AVG and that's the identity storage. This made it really easy for storing my user name and passwords for all the important sites that I used. Like my bank, the bill paying sites, and the suppliers that I use for my wood working and pen turning supplies. The bad part of that was that I quit backing up my most used passwords on a separate text file. Now that my Norton has expired, even though I did save a backup copy of my identity files, I can no longer access my passwords! The back up file is in a .NPM format that I cant find a reader for or any way to convert it to something I can open. It would be nice if the AVG had a compatible part of its program or similar function. As for the installation of the AVG, it went very smooth with no problems at all. I was able to install the AVG before removing the Norton so that there wasn't a gap in my protection. The update and first scan went very smooth and the whole thing took less than an hour. As for how good the AVG protection is I will have to come back in a few months and update this to let you know. But for now I'm very pleased with it.",297,297,291
2.0,"Knowing that all Macs running the newest operation system, Mountain Lion, now have an application called ""Dictation"" built into the operating system many people completely dismiss Dragon all together. However, there are some reasons that you should consider Dragon over using Dictation. First of all, Dictation is only a speech to text application whereas Dragon is more of a different means to control your computer. If I was to solely judge which had the better accuracy I'd give it hands down to Dictation and I'd recommend it to anyone who wanted simply speech to text. The only reason I can see for buying Dragon would be if there was some reason that you couldn't use a mouse or keyboard. Dragon isn't as accurate as Dictation, the headset isn't anything to get excited about, and the setup/registration of Dragon is a major pain. Also note that if you don't have OS X 10.8 (Mountain Lion) and want speech to text, it would still be cheaper to buy Mountain Lion versus getting Dragon.

In order for Dragon to be a reasonable alternative to Dictation they'll really have to step up their game in order to even compete.",meh,negative,195,"knowing that all macs running the newest operation system, mountain lion, now have an application called ""dictation"" built into the operating system many people completely dismiss dragon all together. however, there are some reasons that you should consider dragon over using dictation. first of all, dictation is only a speech to text application whereas dragon is more of a different means to control your computer. if i was to solely judge which had the better accuracy i'd give it hands down to dictation and i'd recommend it to anyone who wanted simply speech to text. the only reason i can see for buying dragon would be if there was some reason that you couldn't use a mouse or keyboard. dragon isn't as accurate as dictation, the headset isn't anything to get excited about, and the setup/registration of dragon is a major pain. also note that if you don't have os x 10.8 (mountain lion) and want speech to text, it would still be cheaper to buy mountain lion versus getting dragon. in order for dragon to be a reasonable alternative to dictation they'll really have to step up their game in order to even compete.",meh,"meh knowing that all macs running the newest operation system, mountain lion, now have an application called ""dictation"" built into the operating system many people completely dismiss dragon all together. however, there are some reasons that you should consider dragon over using dictation. first of all, dictation is only a speech to text application whereas dragon is more of a different means to control your computer. if i was to solely judge which had the better accuracy i'd give it hands down to dictation and i'd recommend it to anyone who wanted simply speech to text. the only reason i can see for buying dragon would be if there was some reason that you couldn't use a mouse or keyboard. dragon isn't as accurate as dictation, the headset isn't anything to get excited about, and the setup/registration of dragon is a major pain. also note that if you don't have os x 10.8 (mountain lion) and want speech to text, it would still be cheaper to buy mountain lion versus getting dragon. in order for dragon to be a reasonable alternative to dictation they'll really have to step up their game in order to even compete.","meh Knowing that all Macs running the newest operation system, Mountain Lion, now have an application called ""Dictation"" built into the operating system many people completely dismiss Dragon all together. However, there are some reasons that you should consider Dragon over using Dictation. First of all, Dictation is only a speech to text application whereas Dragon is more of a different means to control your computer. If I was to solely judge which had the better accuracy I'd give it hands down to Dictation and I'd recommend it to anyone who wanted simply speech to text. The only reason I can see for buying Dragon would be if there was some reason that you couldn't use a mouse or keyboard. Dragon isn't as accurate as Dictation, the headset isn't anything to get excited about, and the setup/registration of Dragon is a major pain. Also note that if you don't have OS X 10.8 (Mountain Lion) and want speech to text, it would still be cheaper to buy Mountain Lion versus getting Dragon. In order for Dragon to be a reasonable alternative to Dictation they'll really have to step up their game in order to even compete.",196,196,195
5.0,"Also, if you want to take it a step further with color and the balance of color...

This book is a great book to understand and enter into the market.  I bought the whole series and read them from cover to cover.  This is not for the advanced student, but the beginner.

I also think that fashion designers should have a thorough understanding of color theory, which is really not taught that much or well.  It is also a very complex subject to learn and understand.

  BUT!!!!!
  There is hope!!!

if you want to know about Color theory to get even better....

COLOR WORKS, the crafter Guide to Color by Deb Menz

FOR ANYONE who wants to know about Color Theory this test breaks it down so that ANYONE can understand this subject.  I learned more about color theory in this book than all others put together because I now ""Understand"" the concept.

While this book is for the textile artist, ALL artists should get it and is also has cut outs to use when choosing your colour palette whether it be for Fashion Design or Art.

This book is a MUST HAVE!!!!",One of the best digital art software around,positive,193,"also, if you want to take it a step further with color and the balance of color... this book is a great book to understand and enter into the market. i bought the whole series and read them from cover to cover. this is not for the advanced student, but the beginner. i also think that fashion designers should have a thorough understanding of color theory, which is really not taught that much or well. it is also a very complex subject to learn and understand. but!!!!! there is hope!!! if you want to know about color theory to get even better.... color works, the crafter guide to color by deb menz for anyone who wants to know about color theory this test breaks it down so that anyone can understand this subject. i learned more about color theory in this book than all others put together because i now ""understand"" the concept. while this book is for the textile artist, all artists should get it and is also has cut outs to use when choosing your colour palette whether it be for fashion design or art. this book is a must have!!!!",one of the best digital art software around,"one of the best digital art software around also, if you want to take it a step further with color and the balance of color... this book is a great book to understand and enter into the market. i bought the whole series and read them from cover to cover. this is not for the advanced student, but the beginner. i also think that fashion designers should have a thorough understanding of color theory, which is really not taught that much or well. it is also a very complex subject to learn and understand. but!!!!! there is hope!!! if you want to know about color theory to get even better.... color works, the crafter guide to color by deb menz for anyone who wants to know about color theory this test breaks it down so that anyone can understand this subject. i learned more about color theory in this book than all others put together because i now ""understand"" the concept. while this book is for the textile artist, all artists should get it and is also has cut outs to use when choosing your colour palette whether it be for fashion design or art. this book is a must have!!!!","One of the best digital art software around Also, if you want to take it a step further with color and the balance of color... This book is a great book to understand and enter into the market. I bought the whole series and read them from cover to cover. This is not for the advanced student, but the beginner. I also think that fashion designers should have a thorough understanding of color theory, which is really not taught that much or well. It is also a very complex subject to learn and understand. BUT!!!!! There is hope!!! if you want to know about Color theory to get even better.... COLOR WORKS, the crafter Guide to Color by Deb Menz FOR ANYONE who wants to know about Color Theory this test breaks it down so that ANYONE can understand this subject. I learned more about color theory in this book than all others put together because I now ""Understand"" the concept. While this book is for the textile artist, ALL artists should get it and is also has cut outs to use when choosing your colour palette whether it be for Fashion Design or Art. This book is a MUST HAVE!!!!",201,201,193
4.0,What can I say have used it for many years Easy to load on 5 computers. No problems.,Norton Security Deluxe 5 Devices,positive,18,what can i say have used it for many years easy to load on 5 computers. no problems.,norton security deluxe 5 devices,norton security deluxe 5 devices what can i say have used it for many years easy to load on 5 computers. no problems.,Norton Security Deluxe 5 Devices What can I say have used it for many years Easy to load on 5 computers. No problems.,23,23,18
