overall,reviewText,summary,sentiment,review_len,clean_text,clean_summary,combined_text,vader_text,ml_text
5.0,"It is amazing what you can do with this software.  I have yet to learn everything you can do with it, but have used many of the basic functions to edit pictures and have found it easy to use.  I would recommend this software.",Great software,positive,44,"it is amazing what you can do with this software. i have yet to learn everything you can do with it, but have used many of the basic functions to edit pictures and have found it easy to use. i would recommend this software.",great software,"great software it is amazing what you can do with this software. i have yet to learn everything you can do with it, but have used many of the basic functions to edit pictures and have found it easy to use. i would recommend this software.","Great software It is amazing what you can do with this software. I have yet to learn everything you can do with it, but have used many of the basic functions to edit pictures and have found it easy to use. I would recommend this software.","great software it is amazing what you can do with this software. i have yet to learn everything you can do with it, but have used many of the basic functions to edit pictures and have found it easy to use. i would recommend this software."
3.0,"This version is slightly better. I think there is a free trial version to try before making the leap, it might be best to try that before investing in this.
While the dash is decent, and the auto uninstall is good, there wasn't much difference despite the 'clean-up'.
While I did not expect a miracle, it was just ok.",Norton Utilities 15 was ok...,neutral,59,"this version is slightly better. i think there is a free trial version to try before making the leap, it might be best to try that before investing in this. while the dash is decent, and the auto uninstall is good, there wasn't much difference despite the 'clean-up'. while i did not expect a miracle, it was just ok.",norton utilities 15 was ok...,"norton utilities 15 was ok... this version is slightly better. i think there is a free trial version to try before making the leap, it might be best to try that before investing in this. while the dash is decent, and the auto uninstall is good, there wasn't much difference despite the 'clean-up'. while i did not expect a miracle, it was just ok.","Norton Utilities 15 was ok... This version is slightly better. I think there is a free trial version to try before making the leap, it might be best to try that before investing in this. While the dash is decent, and the auto uninstall is good, there wasn't much difference despite the 'clean-up'. While I did not expect a miracle, it was just ok.","norton utilities 15 was ok... this version is slightly better. i think there is a free trial version to try before making the leap, it might be best to try that before investing in this. while the dash is decent, and the auto uninstall is good, there wasn't much difference despite the 'clean-up'. while i did not expect a miracle, it was just ok."
3.0,"Better than the cloud reader, not as good as it was years ago.  Kinda disappointed, so the rating reflects that.  Works in Win8, 10, 7, XP.  I didn't test it for Linux.",Not as good as in older days,neutral,32,"better than the cloud reader, not as good as it was years ago. kinda disappointed, so the rating reflects that. works in win8, 10, 7, xp. i didn't test it for linux.",not as good as in older days,"not as good as in older days better than the cloud reader, not as good as it was years ago. kinda disappointed, so the rating reflects that. works in win8, 10, 7, xp. i didn't test it for linux.","Not as good as in older days Better than the cloud reader, not as good as it was years ago. Kinda disappointed, so the rating reflects that. Works in Win8, 10, 7, XP. I didn't test it for Linux.","not as good as in older days better than the cloud reader, not as good as it was years ago. kinda disappointed, so the rating reflects that. works in win8, 10, 7, xp. i didn't test it for linux."
3.0,"Let me start with what I like about this program.  The way it connects to and uses Ancestry.com.  Well that was easy enough.  That portion of the program is excellent.  You can connect, find what you need, have it automatically inserted into the right place and lots of other wonderful things with Ancestry.com.  This allows you to build a family tree quickly and is tremendously helpful if you are new or just recently started building your history.

On the other hand, this is one of the most awkward programs available to try to figure out how to do anything manually.  If you were trying to build your history by hand by talking to relatives and the like then doing things like adding a step-parent, half-sibling, child out of wedlock, etc, is a nightmare.  It can be done, but it is far from intuitive.  I have used FTM from very early versions and loved it through the first several iterations.  I started with Version 5 and loved it through version 11, then it started being more focused on features at the expense of the user interface and ease of use.  And with this version it further frustrates the user experience.  The Version 2008 was the last one I would deem user friendly.

The automatic portion can also be confusing as I found myself thinking I had downloaded content that it turns out I had not.  When I was not connected to the Internet the content was not there, but when I connected it showed up again.  It apparently keeps several items on the Internet by default.  However, I did find that I could get it onto my local copy, it was just not intuitive how to do it.

Don't get me wrong, this is great software and does pretty much everything you need.  There are just better choices if you are trying to build or edit by hand.  The bottom line is it is the best for automatically building your tree through Ancestry.com (absolutely the best online resource).  If you want to do anything else, or have to make a change in any kind of relationship, then it is one of the hardest to work with.  It will do it, but expect to spend a lot of time trying to figure out how to do it and going through the help manual and probably online help.

For me, I am using the subscription to gather information and then just imputing it into my older version.  Reports are faster, interface is cleaner, easier to make changes, searches for duplicates, exports, etc are all faster in the older version.  If they would just fix the user interface so that it was intuitive to use it I would move it up to a four or five star review.",The subscription is the best thing for this software,neutral,464,"let me start with what i like about this program. the way it connects to and uses ancestry.com. well that was easy enough. that portion of the program is excellent. you can connect, find what you need, have it automatically inserted into the right place and lots of other wonderful things with ancestry.com. this allows you to build a family tree quickly and is tremendously helpful if you are new or just recently started building your history. on the other hand, this is one of the most awkward programs available to try to figure out how to do anything manually. if you were trying to build your history by hand by talking to relatives and the like then doing things like adding a step-parent, half-sibling, child out of wedlock, etc, is a nightmare. it can be done, but it is far from intuitive. i have used ftm from very early versions and loved it through the first several iterations. i started with version 5 and loved it through version 11, then it started being more focused on features at the expense of the user interface and ease of use. and with this version it further frustrates the user experience. the version 2008 was the last one i would deem user friendly. the automatic portion can also be confusing as i found myself thinking i had downloaded content that it turns out i had not. when i was not connected to the internet the content was not there, but when i connected it showed up again. it apparently keeps several items on the internet by default. however, i did find that i could get it onto my local copy, it was just not intuitive how to do it. don't get me wrong, this is great software and does pretty much everything you need. there are just better choices if you are trying to build or edit by hand. the bottom line is it is the best for automatically building your tree through ancestry.com (absolutely the best online resource). if you want to do anything else, or have to make a change in any kind of relationship, then it is one of the hardest to work with. it will do it, but expect to spend a lot of time trying to figure out how to do it and going through the help manual and probably online help. for me, i am using the subscription to gather information and then just imputing it into my older version. reports are faster, interface is cleaner, easier to make changes, searches for duplicates, exports, etc are all faster in the older version. if they would just fix the user interface so that it was intuitive to use it i would move it up to a four or five star review.",the subscription is the best thing for this software,"the subscription is the best thing for this software let me start with what i like about this program. the way it connects to and uses ancestry.com. well that was easy enough. that portion of the program is excellent. you can connect, find what you need, have it automatically inserted into the right place and lots of other wonderful things with ancestry.com. this allows you to build a family tree quickly and is tremendously helpful if you are new or just recently started building your history. on the other hand, this is one of the most awkward programs available to try to figure out how to do anything manually. if you were trying to build your history by hand by talking to relatives and the like then doing things like adding a step-parent, half-sibling, child out of wedlock, etc, is a nightmare. it can be done, but it is far from intuitive. i have used ftm from very early versions and loved it through the first several iterations. i started with version 5 and loved it through version 11, then it started being more focused on features at the expense of the user interface and ease of use. and with this version it further frustrates the user experience. the version 2008 was the last one i would deem user friendly. the automatic portion can also be confusing as i found myself thinking i had downloaded content that it turns out i had not. when i was not connected to the internet the content was not there, but when i connected it showed up again. it apparently keeps several items on the internet by default. however, i did find that i could get it onto my local copy, it was just not intuitive how to do it. don't get me wrong, this is great software and does pretty much everything you need. there are just better choices if you are trying to build or edit by hand. the bottom line is it is the best for automatically building your tree through ancestry.com (absolutely the best online resource). if you want to do anything else, or have to make a change in any kind of relationship, then it is one of the hardest to work with. it will do it, but expect to spend a lot of time trying to figure out how to do it and going through the help manual and probably online help. for me, i am using the subscription to gather information and then just imputing it into my older version. reports are faster, interface is cleaner, easier to make changes, searches for duplicates, exports, etc are all faster in the older version. if they would just fix the user interface so that it was intuitive to use it i would move it up to a four or five star review.","The subscription is the best thing for this software Let me start with what I like about this program. The way it connects to and uses Ancestry.com. Well that was easy enough. That portion of the program is excellent. You can connect, find what you need, have it automatically inserted into the right place and lots of other wonderful things with Ancestry.com. This allows you to build a family tree quickly and is tremendously helpful if you are new or just recently started building your history. On the other hand, this is one of the most awkward programs available to try to figure out how to do anything manually. If you were trying to build your history by hand by talking to relatives and the like then doing things like adding a step-parent, half-sibling, child out of wedlock, etc, is a nightmare. It can be done, but it is far from intuitive. I have used FTM from very early versions and loved it through the first several iterations. I started with Version 5 and loved it through version 11, then it started being more focused on features at the expense of the user interface and ease of use. And with this version it further frustrates the user experience. The Version 2008 was the last one I would deem user friendly. The automatic portion can also be confusing as I found myself thinking I had downloaded content that it turns out I had not. When I was not connected to the Internet the content was not there, but when I connected it showed up again. It apparently keeps several items on the Internet by default. However, I did find that I could get it onto my local copy, it was just not intuitive how to do it. Don't get me wrong, this is great software and does pretty much everything you need. There are just better choices if you are trying to build or edit by hand. The bottom line is it is the best for automatically building your tree through Ancestry.com (absolutely the best online resource). If you want to do anything else, or have to make a change in any kind of relationship, then it is one of the hardest to work with. It will do it, but expect to spend a lot of time trying to figure out how to do it and going through the help manual and probably online help. For me, I am using the subscription to gather information and then just imputing it into my older version. Reports are faster, interface is cleaner, easier to make changes, searches for duplicates, exports, etc are all faster in the older version. If they would just fix the user interface so that it was intuitive to use it I would move it up to a four or five star review.","the subscription is the best thing for this software let me start with what i like about this program. the way it connects to and uses ancestry.com. well that was easy enough. that portion of the program is excellent. you can connect, find what you need, have it automatically inserted into the right place and lots of other wonderful things with ancestry.com. this allows you to build a family tree quickly and is tremendously helpful if you are new or just recently started building your history. on the other hand, this is one of the most awkward programs available to try to figure out how to do anything manually. if you were trying to build your history by hand by talking to relatives and the like then doing things like adding a step-parent, half-sibling, child out of wedlock, etc, is a nightmare. it can be done, but it is far from intuitive. i have used ftm from very early versions and loved it through the first several iterations. i started with version 5 and loved it through version 11, then it started being more focused on features at the expense of the user interface and ease of use. and with this version it further frustrates the user experience. the version 2008 was the last one i would deem user friendly. the automatic portion can also be confusing as i found myself thinking i had downloaded content that it turns out i had not. when i was not connected to the internet the content was not there, but when i connected it showed up again. it apparently keeps several items on the internet by default. however, i did find that i could get it onto my local copy, it was just not intuitive how to do it. don't get me wrong, this is great software and does pretty much everything you need. there are just better choices if you are trying to build or edit by hand. the bottom line is it is the best for automatically building your tree through ancestry.com (absolutely the best online resource). if you want to do anything else, or have to make a change in any kind of relationship, then it is one of the hardest to work with. it will do it, but expect to spend a lot of time trying to figure out how to do it and going through the help manual and probably online help. for me, i am using the subscription to gather information and then just imputing it into my older version. reports are faster, interface is cleaner, easier to make changes, searches for duplicates, exports, etc are all faster in the older version. if they would just fix the user interface so that it was intuitive to use it i would move it up to a four or five star review."
5.0,Much better than 2011 version,Much better than 2011 version,positive,5,much better than 2011 version,much better than 2011 version,much better than 2011 version much better than 2011 version,Much better than 2011 version Much better than 2011 version,much better than 2011 version much better than 2011 version
5.0,"I have Photoshop which I use in depth as a book cover designer, but I found that I wanted to add more dimension to my work with artistic touches that I just wasn't happy with, which is what I will be using Corel X3 for.  Corel X3 is like using real art media to create with.  And having it be compatible with Photoshop...is AWESOME!  I was especially eager to play with the smart photo painting tool.

I am still in the early stages of my learning curve with Corel X3, but I can already tell that I am going to LOOOOVE IT!  I think Corel X3 is only going to be limited by my own creativity.  You can't ask for more than that in a software program.

There are a few reviews here that indicate that this is more suited to professional artists, and while I can't completely disagree, as a hobbyist artist I think this would also be idea.  Yes, it's expensive, but so are art supplies.  Just consider this a new media to work with :)  I highly recommend Corel X3! (just be patient and give yourself time to explore and create)",Totally exceeded all of my expectations!,positive,194,"i have photoshop which i use in depth as a book cover designer, but i found that i wanted to add more dimension to my work with artistic touches that i just wasn't happy with, which is what i will be using corel x3 for. corel x3 is like using real art media to create with. and having it be compatible with photoshop...is awesome! i was especially eager to play with the smart photo painting tool. i am still in the early stages of my learning curve with corel x3, but i can already tell that i am going to loooove it! i think corel x3 is only going to be limited by my own creativity. you can't ask for more than that in a software program. there are a few reviews here that indicate that this is more suited to professional artists, and while i can't completely disagree, as a hobbyist artist i think this would also be idea. yes, it's expensive, but so are art supplies. just consider this a new media to work with :) i highly recommend corel x3! (just be patient and give yourself time to explore and create)",totally exceeded all of my expectations!,"totally exceeded all of my expectations! i have photoshop which i use in depth as a book cover designer, but i found that i wanted to add more dimension to my work with artistic touches that i just wasn't happy with, which is what i will be using corel x3 for. corel x3 is like using real art media to create with. and having it be compatible with photoshop...is awesome! i was especially eager to play with the smart photo painting tool. i am still in the early stages of my learning curve with corel x3, but i can already tell that i am going to loooove it! i think corel x3 is only going to be limited by my own creativity. you can't ask for more than that in a software program. there are a few reviews here that indicate that this is more suited to professional artists, and while i can't completely disagree, as a hobbyist artist i think this would also be idea. yes, it's expensive, but so are art supplies. just consider this a new media to work with :) i highly recommend corel x3! (just be patient and give yourself time to explore and create)","Totally exceeded all of my expectations! I have Photoshop which I use in depth as a book cover designer, but I found that I wanted to add more dimension to my work with artistic touches that I just wasn't happy with, which is what I will be using Corel X3 for. Corel X3 is like using real art media to create with. And having it be compatible with Photoshop...is AWESOME! I was especially eager to play with the smart photo painting tool. I am still in the early stages of my learning curve with Corel X3, but I can already tell that I am going to LOOOOVE IT! I think Corel X3 is only going to be limited by my own creativity. You can't ask for more than that in a software program. There are a few reviews here that indicate that this is more suited to professional artists, and while I can't completely disagree, as a hobbyist artist I think this would also be idea. Yes, it's expensive, but so are art supplies. Just consider this a new media to work with :) I highly recommend Corel X3! (just be patient and give yourself time to explore and create)","totally exceeded all of my expectations! i have photoshop which i use in depth as a book cover designer, but i found that i wanted to add more dimension to my work with artistic touches that i just wasn't happy with, which is what i will be using corel x3 for. corel x3 is like using real art media to create with. and having it be compatible with photoshop...is awesome! i was especially eager to play with the smart photo painting tool. i am still in the early stages of my learning curve with corel x3, but i can already tell that i am going to loooove it! i think corel x3 is only going to be limited by my own creativity. you can't ask for more than that in a software program. there are a few reviews here that indicate that this is more suited to professional artists, and while i can't completely disagree, as a hobbyist artist i think this would also be idea. yes, it's expensive, but so are art supplies. just consider this a new media to work with :) i highly recommend corel x3! (just be patient and give yourself time to explore and create)"
4.0,"I am enjoying the Cyberlink PhotoDirector 5 so far.  I have a Nikon D3000 and I exclusively shoot in RAW and I use a lot of post editing to clean up pictures so this is a big help for me.  I'm still experimenting with the program and I will gradually ease into using this more in the future as soon as I get the kinks worked out.  If you are a novice or a pro then you will want to give this a try because they will make your pics look very nice and you'll have fun paying around with all of the editing features. One thing is to make sure that your computer is up to date because the software may not work properly.

I would highly recommend this product to those who want a neat and affordable photo editing software.",I am having fun playing around with my RAW pics,positive,142,i am enjoying the cyberlink photodirector 5 so far. i have a nikon d3000 and i exclusively shoot in raw and i use a lot of post editing to clean up pictures so this is a big help for me. i'm still experimenting with the program and i will gradually ease into using this more in the future as soon as i get the kinks worked out. if you are a novice or a pro then you will want to give this a try because they will make your pics look very nice and you'll have fun paying around with all of the editing features. one thing is to make sure that your computer is up to date because the software may not work properly. i would highly recommend this product to those who want a neat and affordable photo editing software.,i am having fun playing around with my raw pics,i am having fun playing around with my raw pics i am enjoying the cyberlink photodirector 5 so far. i have a nikon d3000 and i exclusively shoot in raw and i use a lot of post editing to clean up pictures so this is a big help for me. i'm still experimenting with the program and i will gradually ease into using this more in the future as soon as i get the kinks worked out. if you are a novice or a pro then you will want to give this a try because they will make your pics look very nice and you'll have fun paying around with all of the editing features. one thing is to make sure that your computer is up to date because the software may not work properly. i would highly recommend this product to those who want a neat and affordable photo editing software.,I am having fun playing around with my RAW pics I am enjoying the Cyberlink PhotoDirector 5 so far. I have a Nikon D3000 and I exclusively shoot in RAW and I use a lot of post editing to clean up pictures so this is a big help for me. I'm still experimenting with the program and I will gradually ease into using this more in the future as soon as I get the kinks worked out. If you are a novice or a pro then you will want to give this a try because they will make your pics look very nice and you'll have fun paying around with all of the editing features. One thing is to make sure that your computer is up to date because the software may not work properly. I would highly recommend this product to those who want a neat and affordable photo editing software.,i am having fun playing around with my raw pics i am enjoying the cyberlink photodirector 5 so far. i have a nikon d3000 and i exclusively shoot in raw and i use a lot of post editing to clean up pictures so this is a big help for me. i'm still experimenting with the program and i will gradually ease into using this more in the future as soon as i get the kinks worked out. if you are a novice or a pro then you will want to give this a try because they will make your pics look very nice and you'll have fun paying around with all of the editing features. one thing is to make sure that your computer is up to date because the software may not work properly. i would highly recommend this product to those who want a neat and affordable photo editing software.
1.0,"I could not get this software to install on my peecee. My environment: Windows XP Pro, service pack 3, all Microsoft updates applied. Hardware is about two years old and was top-of-the-line when purchased.

I meticulously cleaned my file system and Windows registry before trying to install for the second (and third) time. I also attempted a minimal install: just two features. No dice.

I see that has not updated this software for five monthes, as of this writing. Perhaps they have just given up.

One final observation: if you google for similar problems, you will mostly find discussions that do NOT end with a successful resolution.",Cannot install,negative,107,"i could not get this software to install on my peecee. my environment: windows xp pro, service pack 3, all microsoft updates applied. hardware is about two years old and was top-of-the-line when purchased. i meticulously cleaned my file system and windows registry before trying to install for the second (and third) time. i also attempted a minimal install: just two features. no dice. i see that has not updated this software for five monthes, as of this writing. perhaps they have just given up. one final observation: if you google for similar problems, you will mostly find discussions that do not end with a successful resolution.",cannot install,"cannot install i could not get this software to install on my peecee. my environment: windows xp pro, service pack 3, all microsoft updates applied. hardware is about two years old and was top-of-the-line when purchased. i meticulously cleaned my file system and windows registry before trying to install for the second (and third) time. i also attempted a minimal install: just two features. no dice. i see that has not updated this software for five monthes, as of this writing. perhaps they have just given up. one final observation: if you google for similar problems, you will mostly find discussions that do not end with a successful resolution.","Cannot install I could not get this software to install on my peecee. My environment: Windows XP Pro, service pack 3, all Microsoft updates applied. Hardware is about two years old and was top-of-the-line when purchased. I meticulously cleaned my file system and Windows registry before trying to install for the second (and third) time. I also attempted a minimal install: just two features. No dice. I see that has not updated this software for five monthes, as of this writing. Perhaps they have just given up. One final observation: if you google for similar problems, you will mostly find discussions that do NOT end with a successful resolution.","cannot install i could not get this software to install on my peecee. my environment: windows xp pro, service pack 3, all microsoft updates applied. hardware is about two years old and was top-of-the-line when purchased. i meticulously cleaned my file system and windows registry before trying to install for the second (and third) time. i also attempted a minimal install: just two features. no dice. i see that has not updated this software for five monthes, as of this writing. perhaps they have just given up. one final observation: if you google for similar problems, you will mostly find discussions that do not end with a successful resolution."
5.0,"If in this life we find only death and taxes, one had better get TurboTax. As a software program which has been around for a number of years, it is the best. From the most elementary version such as this one to the most complicated do- it- all program, Turbo Tax  simply cannot be beat for this unpleasant yearly task. It walks you through each step, answers every question and provides an accurate tax preparation .If you have never used a tax prep program, we recommend TurboTax . It takes time, but it provides the satisfaction that your yearly taxes will be properly prepared IF you honestly follow the directions and fill in the blanks accordingly.",TurboTax makes this unpleasant job a lot easier,positive,116,"if in this life we find only death and taxes, one had better get turbotax. as a software program which has been around for a number of years, it is the best. from the most elementary version such as this one to the most complicated do- it- all program, turbo tax simply cannot be beat for this unpleasant yearly task. it walks you through each step, answers every question and provides an accurate tax preparation .if you have never used a tax prep program, we recommend turbotax . it takes time, but it provides the satisfaction that your yearly taxes will be properly prepared if you honestly follow the directions and fill in the blanks accordingly.",turbotax makes this unpleasant job a lot easier,"turbotax makes this unpleasant job a lot easier if in this life we find only death and taxes, one had better get turbotax. as a software program which has been around for a number of years, it is the best. from the most elementary version such as this one to the most complicated do- it- all program, turbo tax simply cannot be beat for this unpleasant yearly task. it walks you through each step, answers every question and provides an accurate tax preparation .if you have never used a tax prep program, we recommend turbotax . it takes time, but it provides the satisfaction that your yearly taxes will be properly prepared if you honestly follow the directions and fill in the blanks accordingly.","TurboTax makes this unpleasant job a lot easier If in this life we find only death and taxes, one had better get TurboTax. As a software program which has been around for a number of years, it is the best. From the most elementary version such as this one to the most complicated do- it- all program, Turbo Tax simply cannot be beat for this unpleasant yearly task. It walks you through each step, answers every question and provides an accurate tax preparation .If you have never used a tax prep program, we recommend TurboTax . It takes time, but it provides the satisfaction that your yearly taxes will be properly prepared IF you honestly follow the directions and fill in the blanks accordingly.","turbotax makes this unpleasant job a lot easier if in this life we find only death and taxes, one had better get turbotax. as a software program which has been around for a number of years, it is the best. from the most elementary version such as this one to the most complicated do- it- all program, turbo tax simply cannot be beat for this unpleasant yearly task. it walks you through each step, answers every question and provides an accurate tax preparation .if you have never used a tax prep program, we recommend turbotax . it takes time, but it provides the satisfaction that your yearly taxes will be properly prepared if you honestly follow the directions and fill in the blanks accordingly."
3.0,"I wish Intuit would make a version of this product that wasn't so damned hard to navigate!  Not just in the questions, but in the forms.  Stuff is still hidden and not easily found.  It does the job, sure.  Thank God, it calculates correctly and gets you through things logically, but it's after-the-fact when you want to check and/or change things when you sort of have to hunt and peck.","Still the best for calculating step-wise, but accessing various parts can be hit-and-miss",neutral,70,"i wish intuit would make a version of this product that wasn't so damned hard to navigate! not just in the questions, but in the forms. stuff is still hidden and not easily found. it does the job, sure. thank god, it calculates correctly and gets you through things logically, but it's after-the-fact when you want to check and/or change things when you sort of have to hunt and peck.","still the best for calculating step-wise, but accessing various parts can be hit-and-miss","still the best for calculating step-wise, but accessing various parts can be hit-and-miss i wish intuit would make a version of this product that wasn't so damned hard to navigate! not just in the questions, but in the forms. stuff is still hidden and not easily found. it does the job, sure. thank god, it calculates correctly and gets you through things logically, but it's after-the-fact when you want to check and/or change things when you sort of have to hunt and peck.","Still the best for calculating step-wise, but accessing various parts can be hit-and-miss I wish Intuit would make a version of this product that wasn't so damned hard to navigate! Not just in the questions, but in the forms. Stuff is still hidden and not easily found. It does the job, sure. Thank God, it calculates correctly and gets you through things logically, but it's after-the-fact when you want to check and/or change things when you sort of have to hunt and peck.","still the best for calculating step-wise, but accessing various parts can be hit-and-miss i wish intuit would make a version of this product that wasn't so damned hard to navigate! not just in the questions, but in the forms. stuff is still hidden and not easily found. it does the job, sure. thank god, it calculates correctly and gets you through things logically, but it's after-the-fact when you want to check and/or change things when you sort of have to hunt and peck."
